repository,release_tag,working_days_since_previous_release
seed-design,@seed-design/react-segmented-control@0.0.3,1
seed-design,@seed-design/react-progress@0.0.2,1
seed-design,@seed-design/react-snackbar@0.0.3,1
seed-design,@seed-design/react-tabs@0.0.4,1
seed-design,@seed-design/react-switch@0.0.2,1
seed-design,@seed-design/react-text-field@0.0.2,1
seed-design,@seed-design/react-toggle@0.0.2,1
seed-design,@seed-design/rsbuild-plugin@0.0.21,1
seed-design,@seed-design/stackflow@0.0.21,1
seed-design,@seed-design/tailwind3-plugin@0.0.21,1
seed-design,@seed-design/vite-plugin@0.0.21,1
seed-design,@seed-design/dom-utils@0.0.2,1
seed-design,@seed-design/webpack-plugin@0.0.21,1
seed-design,@seed-design/tailwind4-theme@0.0.21,1
seed-design,@seed-design/figma@0.0.22,2
seed-design,@seed-design/mcp@0.0.22,1
seed-design,@seed-design/figma@0.0.23,4
seed-design,@seed-design/css@0.0.23,1
seed-design,@seed-design/mcp@0.0.23,1
seed-design,@seed-design/react@0.0.23,1
seed-design,@seed-design/rsbuild-plugin@0.0.23,1
seed-design,@seed-design/vite-plugin@0.0.23,1
seed-design,@seed-design/stackflow@0.0.23,1
seed-design,@seed-design/webpack-plugin@0.0.23,1
seed-design,@seed-design/webpack-plugin@0.0.24,5
seed-design,@seed-design/css@0.0.24,1
seed-design,@seed-design/figma@0.0.24,1
seed-design,@seed-design/react@0.0.24,1
seed-design,@seed-design/mcp@0.0.24,1
seed-design,@seed-design/react-portal@0.0.1,1
seed-design,@seed-design/rsbuild-plugin@0.0.24,1
seed-design,@seed-design/stackflow@0.0.24,1
seed-design,@seed-design/vite-plugin@0.0.24,1
seed-design,@seed-design/stackflow@0.0.25,8
seed-design,@seed-design/css@0.0.25,1
seed-design,@seed-design/figma@0.0.25,1
seed-design,@seed-design/webpack-plugin@0.0.25,1
seed-design,@seed-design/mcp@0.0.25,1
seed-design,@seed-design/vite-plugin@0.0.25,1
seed-design,@seed-design/codemod@0.0.23,1
seed-design,@seed-design/react@0.0.25,1
seed-design,@seed-design/rsbuild-plugin@0.0.25,1
seed-design,@seed-design/rsbuild-plugin@0.0.26,3
seed-design,@seed-design/vite-plugin@0.0.26,1
seed-design,@seed-design/codemod@0.0.24,1
seed-design,@seed-design/webpack-plugin@0.0.26,1
seed-design,@seed-design/figma@0.0.27,7
seed-design,@seed-design/react-radio-group@0.0.3,1
seed-design,@seed-design/react-portal@0.0.2,1
seed-design,@seed-design/mcp@0.0.27,1
seed-design,@seed-design/react-checkbox@0.0.3,1
seed-design,@seed-design/react-avatar@0.0.3,1
seed-design,@seed-design/react-toggle@0.0.3,1
seed-design,@seed-design/react-dialog@0.0.4,1
seed-design,@seed-design/css@0.0.27,1
seed-design,@seed-design/react-popover@0.0.6,1
seed-design,@seed-design/react-progress@0.0.3,1
seed-design,@seed-design/vite-plugin@0.0.27,1
seed-design,@seed-design/react-switch@0.0.3,1
seed-design,@seed-design/webpack-plugin@0.0.27,1
seed-design,@seed-design/codemod@0.0.25,1
seed-design,@seed-design/react-pull-to-refresh@0.0.4,1
seed-design,@seed-design/rsbuild-plugin@0.0.27,1
seed-design,@seed-design/react-text-field@0.0.3,1
seed-design,@seed-design/react@0.0.27,1
seed-design,@seed-design/react-snackbar@0.0.4,1
seed-design,@seed-design/react-tabs@0.0.5,1
seed-design,@seed-design/react-segmented-control@0.0.4,1
seed-design,@seed-design/stackflow@0.0.27,1
seed-design,@seed-design/figma@0.0.28,1
seed-design,@seed-design/mcp@0.0.28,1
seed-design,@seed-design/css@0.0.28,1
seed-design,@seed-design/react@0.0.28,1
seed-design,@seed-design/vite-plugin@0.0.28,1
seed-design,@seed-design/stackflow@0.0.28,1
seed-design,@seed-design/webpack-plugin@0.0.28,1
seed-design,@seed-design/rsbuild-plugin@0.0.28,1
